y_true,y_pred,score,sex,race
0,0,0.066406,Male,Two or more
0,0,0.048162,Male,Asian
0,0,0.093487,Female,White
0,0,0.180137,Male,Black
0,1,0.903284,Male,White
0,0,0.108096,Male,Black
0,0,0.423744,Male,White
0,0,0.047821,Male,Other
0,0,0.026856,Female,White
0,0,0.179974,Female,White
0,1,0.661592,Male,White
0,0,0.247647,Male,White
0,0,0.137755,Female,White
1,0,0.435567,Male,Black
0,1,0.925780,Female,Black
0,0,0.069780,Male,White
0,0,0.167658,Female,White
0,0,0.039705,Female,Two or more
0,0,0.192985,Female,White
0,0,0.015082,Female,NHPI
0,0,0.093012,Female,White
0,0,0.032109,Male,White
0,0,0.010783,Female,White
0,0,0.053595,Male,Black
0,0,0.094713,Female,White
0,1,0.739787,Male,Other
1,1,0.957482,Female,White
0,0,0.249006,Male,White
0,0,0.037153,Female,Asian
0,0,0.046824,Male,White
0,0,0.050805,Male,White
0,1,0.802093,Male,Black
0,0,0.218317,Male,White
0,0,0.238644,Male,Asian
0,0,0.459267,Male,Asian
0,0,0.205610,Male,White
0,0,0.205015,Male,Other
0,0,0.044791,Male,Other
0,1,0.739787,Male,Other
0,0,0.165292,Male,Black
0,1,0.926030,Male,White
0,0,0.023288,Female,White
0,0,0.069252,Male,White
0,0,0.019972,Male,White
0,0,0.180694,Male,White
0,0,0.014563,Female,White
0,0,0.237128,Male,White
0,0,0.017497,Male,White
0,0,0.020999,Female,White
0,0,0.021899,Female,White
0,0,0.066406,Male,Two or more
0,0,0.010783,Female,White
0,0,0.320653,Male,White
0,0,0.376887,Male,Black
0,0,0.086023,Female,White
0,0,0.419039,Male,White
0,1,0.777690,Male,White
0,0,0.060030,Male,White
0,0,0.273537,Male,Two or more
0,0,0.015374,Female,White
0,0,0.040627,Male,White
0,0,0.183675,Male,White
0,0,0.227846,Male,Black
0,0,0.475610,Male,Two or more
0,0,0.067047,Male,White
0,0,0.202415,Male,Asian
0,0,0.019517,Male,White
0,0,0.260105,Male,White
0,1,0.901374,Male,White
0,0,0.255725,Male,White
0,0,0.133301,Male,White
0,0,0.310117,Female,White
0,0,0.128468,Female,Two or more
0,0,0.025083,Female,White
0,0,0.493520,Male,White
1,0,0.117370,Female,Black
0,1,0.919934,Male,White
0,0,0.067047,Male,White
0,0,0.030016,Male,Two or more
0,0,0.204331,Male,Black
0,0,0.068067,Female,White
0,0,0.223525,Male,Other
0,0,0.221960,Male,White
0,0,0.128187,Male,Black
0,0,0.180137,Male,Black
0,0,0.190965,Male,White
0,0,0.036556,Male,Two or more
0,0,0.335760,Male,White
0,0,0.040013,Male,White
0,0,0.040482,Male,White
0,0,0.272216,Male,White
0,0,0.056025,Male,White
0,0,0.236113,Male,White
0,0,0.174430,Male,White
0,0,0.214953,Male,Black
0,0,0.081140,Female,NHPI
0,0,0.095485,Male,Two or more
0,0,0.109819,Male,Asian
0,1,0.768464,Female,White
0,0,0.131771,Male,Asian
0,0,0.313774,Male,White
0,0,0.010783,Female,White
0,0,0.380499,Female,American Indian
0,0,0.042125,Female,White
0,0,0.380499,Female,American Indian
0,0,0.147697,Male,Black
0,0,0.036786,Male,White
0,0,0.465306,Male,White
0,0,0.397092,Male,White
0,0,0.366011,Male,White
0,0,0.008975,Female,White
0,0,0.247647,Male,White
1,1,0.868359,Male,White
0,0,0.042322,Male,White
0,0,0.022928,Male,Other
0,0,0.156208,Male,White
0,0,0.423744,Male,White
0,1,0.548145,Male,White
0,1,0.558236,Male,White
0,0,0.247647,Male,White
0,0,0.058636,Male,Black
0,0,0.056025,Male,White
0,1,0.770186,Male,White
0,0,0.180694,Male,White
1,0,0.196390,Male,White
0,1,0.520133,Female,Two or more
0,0,0.013804,Female,White
0,0,0.055192,Male,White
0,1,0.505399,Male,White
0,1,0.939444,Male,White
0,0,0.023597,Female,Black
0,0,0.067703,Female,White
0,1,0.847948,Female,White
0,0,0.238644,Male,Asian
0,0,0.290066,Male,White
0,0,0.039827,Female,White
0,0,0.214953,Male,Black
1,0,0.046824,Male,White
0,0,0.018382,Female,Asian
0,0,0.029184,Female,White
0,0,0.049205,Male,White
0,0,0.025757,Female,Two or more
0,0,0.016169,Male,White
0,0,0.020999,Female,White
0,0,0.147478,Male,White
0,0,0.005966,Female,Asian
0,0,0.016037,Female,White
0,0,0.066743,Female,White
0,0,0.027898,Female,White
0,0,0.023288,Female,White
0,1,0.841127,Female,White
0,0,0.060461,Female,White
0,1,0.871279,Male,White
0,0,0.038218,Female,White
0,1,0.770186,Male,White
0,0,0.038713,Male,Asian
0,0,0.011591,Male,White
0,0,0.167658,Female,White
0,0,0.055192,Male,White
0,0,0.223525,Male,Other
0,1,0.853895,Male,Two or more
0,0,0.035545,Male,Two or more
0,0,0.027571,Female,White
0,0,0.174430,Male,White
0,0,0.225725,Male,White
0,1,0.683790,Male,White
0,0,0.109819,Male,Asian
0,0,0.089456,Female,White
0,0,0.051782,Male,Other
0,1,0.980752,Male,White
1,0,0.191032,Male,White
0,1,0.518833,Male,Other
1,0,0.015828,Female,Asian
0,0,0.054939,Female,White
0,0,0.014930,Female,White
0,0,0.011993,Female,White
0,0,0.323343,Male,Asian
0,0,0.475610,Male,Two or more
0,0,0.193880,Male,Other
0,0,0.069780,Male,White
0,0,0.128468,Female,Two or more
0,0,0.128468,Female,Two or more
0,0,0.238644,Male,Asian
0,0,0.016037,Female,White
