y_true,y_pred,score,sex,race
0,0,0.053806,Female,White
1,1,0.732642,Male,Asian-Pac-Islander
0,0,0.017327,Male,White
0,0,0.389318,Male,White
0,0,0.048996,Female,White
1,1,0.577470,Male,White
0,0,0.058854,Male,White
0,0,0.374602,Male,White
0,0,0.027597,Male,White
0,0,0.027961,Female,White
0,0,0.083851,Male,Black
0,0,0.073543,Female,White
0,0,0.034567,Male,Black
0,0,0.081478,Male,White
0,0,0.132821,Female,White
0,0,0.117195,Male,White
0,0,0.022160,Female,Black
1,1,0.748865,Male,White
0,0,0.297902,Male,Black
0,0,0.037504,Male,Black
0,0,0.041465,Female,White
0,1,0.631149,Male,White
0,0,0.017086,Female,Asian-Pac-Islander
0,0,0.047601,Male,Black
0,0,0.108233,Male,White
0,0,0.228494,Male,White
0,0,0.132386,Female,White
1,1,0.555529,Male,White
0,0,0.075095,Female,Black
0,1,0.701656,Male,White
0,0,0.067551,Female,White
0,0,0.468403,Male,White
0,0,0.111572,Male,White
1,0,0.135903,Male,White
0,0,0.289361,Male,White
0,0,0.355849,Male,White
0,0,0.131842,Male,White
0,0,0.472617,Male,White
0,0,0.362868,Male,Black
0,1,0.794695,Male,White
1,0,0.151356,Male,White
0,1,0.614728,Male,White
1,0,0.254779,Male,White
0,0,0.199418,Male,Black
0,0,0.148470,Male,Black
1,0,0.296835,Male,White
0,0,0.087271,Male,Black
0,0,0.103981,Male,White
0,0,0.036278,Female,White
0,0,0.310235,Male,White
0,1,0.653751,Male,White
0,0,0.032529,Male,White
1,1,0.598238,Male,White
1,0,0.421727,Male,White
1,0,0.116154,Male,White
1,0,0.027925,Female,White
1,0,0.425133,Male,White
0,0,0.445036,Male,White
0,1,0.591924,Male,White
0,0,0.132386,Female,White
1,0,0.351689,Male,White
0,0,0.114858,Male,White
0,0,0.099398,Male,White
0,0,0.207172,Female,White
0,0,0.108233,Male,White
0,0,0.141382,Male,White
0,0,0.348821,Male,White
0,0,0.021832,Female,Black
0,0,0.012611,Female,Black
0,1,0.778068,Male,White
1,0,0.466149,Male,White
0,0,0.042236,Male,White
0,0,0.262507,Male,White
0,0,0.158468,Male,White
1,1,0.555602,Male,White
0,1,0.598910,Female,White
0,0,0.036419,Male,White
0,0,0.110210,Female,White
0,0,0.192094,Male,White
0,0,0.304420,Male,White
0,0,0.252743,Male,White
0,1,0.564359,Female,White
0,0,0.212366,Male,White
1,0,0.303335,Male,White
0,0,0.112636,Male,White
0,0,0.196953,Female,White
0,0,0.089387,Male,Black
1,1,0.510926,Male,White
0,0,0.267830,Male,White
1,0,0.258981,Male,Asian-Pac-Islander
1,1,0.601427,Male,White
0,0,0.050437,Female,Black
1,0,0.423088,Male,White
0,0,0.245907,Male,White
1,0,0.166341,Male,White
0,0,0.350051,Male,White
0,1,0.519711,Male,White
1,0,0.095919,Male,White
1,0,0.199905,Female,White
1,0,0.378890,Male,White
0,0,0.086243,Male,White
0,1,0.524380,Male,White
0,0,0.057527,Female,Black
0,0,0.141831,Female,White
0,0,0.471563,Male,White
0,1,0.755600,Male,White
0,0,0.242237,Male,White
0,0,0.013414,Male,White
0,0,0.014516,Female,Black
0,0,0.094683,Male,Black
1,0,0.498399,Male,Black
0,0,0.015950,Female,Asian-Pac-Islander
0,0,0.022160,Female,Black
0,0,0.068681,Female,White
0,0,0.104800,Male,White
0,0,0.349275,Male,White
0,0,0.295363,Male,Black
0,0,0.224487,Female,White
0,0,0.024856,Female,White
0,0,0.136026,Male,White
0,0,0.035335,Female,White
0,0,0.108233,Male,White
1,1,0.831908,Male,White
1,0,0.285712,Male,White
0,0,0.493448,Male,White
0,0,0.143558,Male,White
0,0,0.141243,Female,Black
1,0,0.192831,Female,White
0,0,0.116293,Male,White
0,0,0.039208,Female,Asian-Pac-Islander
0,1,0.675778,Male,White
1,0,0.435106,Male,White
1,0,0.297023,Male,White
0,0,0.249237,Female,White
0,0,0.093261,Female,White
1,0,0.355779,Male,Black
0,0,0.261427,Male,Black
1,0,0.368225,Male,White
0,0,0.237312,Male,White
1,0,0.241462,Male,White
0,0,0.076158,Female,Black
1,0,0.443918,Male,White
0,0,0.484102,Male,White
0,0,0.053535,Male,White
0,0,0.068681,Female,White
0,0,0.276652,Male,White
0,0,0.218231,Male,Black
1,0,0.284574,Male,Black
0,0,0.072549,Male,White
0,1,0.847090,Male,White
0,0,0.019021,Female,White
0,0,0.296432,Male,White
0,0,0.017902,Female,White
0,0,0.154761,Female,White
0,0,0.099423,Female,White
0,0,0.023152,Female,Black
0,0,0.170837,Male,White
0,0,0.054499,Male,White
1,0,0.353707,Male,White
1,1,0.595005,Male,White
0,0,0.030371,Female,White
1,0,0.370509,Male,White
1,0,0.227750,Male,White
0,0,0.015456,Female,White
1,0,0.058808,Female,White
0,0,0.107390,Male,White
0,0,0.097866,Female,White
1,1,0.622712,Male,White
0,0,0.044609,Female,White
1,0,0.185233,Male,White
0,0,0.028834,Male,White
0,1,0.623686,Male,White
1,0,0.171361,Female,White
0,0,0.040413,Male,White
0,0,0.058235,Female,Black
0,0,0.088771,Male,Asian-Pac-Islander
0,0,0.025946,Female,White
1,1,0.586319,Male,White
0,0,0.204964,Male,White
0,1,0.612080,Male,Asian-Pac-Islander
0,0,0.153098,Female,White
1,0,0.175199,Male,Black
1,0,0.057327,Male,White
0,0,0.056903,Female,White
0,0,0.006561,Female,White
1,1,0.671830,Male,White
0,0,0.116293,Male,White
0,0,0.024638,Female,White
0,0,0.233292,Male,White
1,1,0.758957,Male,White
0,0,0.267771,Male,White
0,0,0.089114,Male,Asian-Pac-Islander
1,1,0.633185,Male,White
0,0,0.014447,Female,White
0,0,0.253920,Male,White
0,0,0.092101,Male,White
0,0,0.252265,Male,White
1,0,0.267712,Male,White
0,0,0.101842,Female,White
1,1,0.503041,Male,White
0,0,0.375593,Male,White
