y_true,y_pred,score,group
1,0,0.228556,A
0,0,0.116481,A
0,0,0.209514,A
0,0,0.041471,A
0,0,0.158602,A
0,0,0.308750,A
0,0,0.491243,A
0,0,0.289280,A
0,0,0.222126,A
0,0,0.127092,A
0,0,0.058677,A
0,0,0.191510,A
0,0,0.488822,A
0,0,0.408990,A
1,0,0.472885,A
0,0,0.108947,A
0,0,0.191414,A
0,0,0.354520,A
1,0,0.496218,A
1,0,0.253907,A
1,0,0.336580,A
0,0,0.440581,A
0,0,0.258539,A
0,0,0.285826,A
0,0,0.073846,A
0,0,0.176710,A
0,0,0.410818,A
0,0,0.185041,A
0,0,0.244205,A
0,0,0.313796,A
0,0,0.287316,A
0,0,0.106435,A
1,0,0.105979,A
0,0,0.164099,A
0,0,0.279981,A
1,1,0.562205,A
0,0,0.169292,A
0,0,0.145887,A
0,0,0.450388,A
0,0,0.401203,A
0,1,0.521067,A
1,0,0.395656,A
0,0,0.339944,A
0,0,0.197418,A
0,0,0.187923,A
0,0,0.238754,A
0,0,0.225456,A
1,0,0.355322,A
0,0,0.250495,A
1,0,0.176779,A
0,0,0.336501,A
0,0,0.368704,A
1,0,0.234751,A
1,0,0.147483,A
0,0,0.207741,A
1,0,0.471996,A
0,0,0.105363,A
0,0,0.222741,A
0,0,0.369413,A
1,1,0.568771,A
1,0,0.200343,A
0,0,0.342729,A
0,0,0.234022,A
0,0,0.251138,A
0,0,0.323581,A
0,0,0.030517,A
1,0,0.228602,A
0,0,0.416066,A
0,0,0.355543,A
1,0,0.156018,A
0,0,0.083809,A
0,0,0.148688,A
0,0,0.061674,A
1,1,0.621335,A
0,0,0.317478,A
0,0,0.296844,A
0,0,0.344134,A
0,0,0.219489,A
1,0,0.447124,A
1,0,0.364800,A
0,0,0.247713,A
0,0,0.325281,A
0,0,0.214737,A
0,0,0.070601,A
0,0,0.242652,A
0,0,0.265164,A
0,1,0.661629,A
0,0,0.237214,A
0,0,0.240301,A
0,0,0.298831,A
1,0,0.126446,A
0,0,0.127162,A
0,0,0.135496,A
1,1,0.630652,A
0,0,0.331435,A
0,0,0.152022,A
0,0,0.241373,A
0,0,0.399892,A
1,0,0.276343,A
1,0,0.293022,A
0,0,0.201014,A
0,0,0.226651,A
0,0,0.150965,A
1,0,0.248841,A
0,0,0.335344,A
0,0,0.112895,A
0,0,0.296928,A
0,0,0.126011,A
0,0,0.419958,A
0,0,0.280901,A
0,0,0.338703,A
0,0,0.095316,A
1,1,0.643670,A
1,0,0.400944,A
0,0,0.275162,A
0,0,0.082293,A
0,1,0.503978,A
0,0,0.097319,A
0,1,0.513235,A
0,0,0.124393,A
0,0,0.251077,A
0,0,0.360778,A
1,0,0.328068,A
0,0,0.415874,A
0,0,0.268041,A
0,0,0.154318,A
0,0,0.343081,A
0,0,0.340143,A
0,0,0.171672,A
0,0,0.169988,A
0,0,0.439729,A
0,1,0.554411,A
1,1,0.542133,A
0,0,0.279462,A
0,0,0.097242,A
0,0,0.332242,A
0,0,0.309060,A
0,0,0.181093,A
0,0,0.241599,A
0,0,0.436787,A
0,0,0.398117,A
1,0,0.361206,A
0,0,0.497853,A
1,0,0.273806,A
0,0,0.407148,A
1,0,0.268521,A
0,0,0.299532,A
0,0,0.439585,A
1,0,0.430238,A
0,1,0.506005,A
0,0,0.430845,A
0,0,0.201842,A
0,0,0.229008,A
0,0,0.058309,A
0,0,0.206041,A
0,0,0.140814,A
1,0,0.352743,A
1,0,0.239621,A
0,0,0.292203,A
0,0,0.373464,A
0,0,0.044224,A
0,1,0.546467,A
0,0,0.385893,A
0,0,0.132542,A
1,1,0.602659,A
0,0,0.318231,A
1,0,0.299929,A
0,0,0.060023,A
0,0,0.248053,A
1,0,0.119850,A
0,0,0.155053,A
0,1,0.595426,A
0,1,0.547237,A
0,1,0.587371,A
0,0,0.369944,A
0,0,0.408902,A
0,0,0.347001,A
0,0,0.322512,A
0,0,0.300377,A
0,0,0.343209,A
1,0,0.156806,A
1,0,0.175237,A
1,0,0.296762,A
0,0,0.274817,A
1,1,0.699286,A
0,0,0.301132,A
0,0,0.169733,A
0,0,0.030391,A
1,1,0.512791,A
0,0,0.489380,A
0,0,0.234552,A
0,0,0.309236,A
0,1,0.571491,A
0,0,0.235810,A
0,0,0.172995,A
0,0,0.242299,A
1,0,0.126805,A
0,0,0.088826,A
0,0,0.314295,A
0,0,0.161327,A
0,0,0.227453,A
0,0,0.123432,A
0,0,0.459477,A
0,0,0.209246,A
0,1,0.503281,A
1,0,0.195207,A
0,0,0.241026,A
0,0,0.142974,A
0,0,0.358568,A
0,0,0.142217,A
0,0,0.107301,A
0,0,0.455712,A
1,0,0.297557,A
0,0,0.180510,A
0,0,0.177630,A
0,0,0.197821,A
0,0,0.288348,A
0,0,0.271254,A
1,0,0.186093,A
1,0,0.217685,A
0,0,0.339616,A
0,0,0.425608,A
1,0,0.243649,A
0,0,0.381106,A
0,0,0.131669,A
0,0,0.442337,A
0,0,0.167345,A
0,0,0.242108,A
0,0,0.498301,A
1,0,0.274676,A
0,0,0.103140,A
0,0,0.328975,A
