y_true,y_pred,score,group
1,0,0.427378,A
0,0,0.258190,A
1,0,0.485756,A
1,0,0.259152,A
0,0,0.355411,A
0,1,0.588563,A
1,1,0.731365,A
1,1,0.598225,A
0,0,0.443301,A
0,0,0.294198,A
0,0,0.165289,A
0,0,0.348903,A
1,1,0.674428,A
0,1,0.713555,A
1,1,0.746944,A
0,0,0.233003,A
0,0,0.344063,A
0,1,0.582502,A
1,1,0.729969,A
1,0,0.479165,A
1,1,0.660602,A
1,1,0.698073,A
0,1,0.524009,A
1,1,0.513041,A
1,0,0.222228,A
1,0,0.355644,A
1,1,0.797834,A
0,0,0.417646,A
0,0,0.409384,A
1,1,0.507368,A
0,1,0.532404,A
0,0,0.340931,A
1,0,0.282888,A
1,0,0.317845,A
0,0,0.495489,A
1,1,0.840692,A
1,0,0.412088,A
0,0,0.362548,A
1,1,0.733030,A
1,1,0.655271,A
1,1,0.709627,A
1,1,0.569184,A
1,1,0.540107,A
1,1,0.606768,A
0,0,0.381853,A
0,1,0.506704,A
1,0,0.402937,A
0,1,0.675268,A
1,1,0.533024,A
1,0,0.161388,A
1,1,0.778363,A
0,0,0.404731,A
0,0,0.400512,A
0,1,0.641147,A
0,1,0.593467,A
0,0,0.292878,A
0,1,0.539532,A
1,1,0.824659,A
0,0,0.114243,A
1,0,0.392041,A
1,0,0.490509,A
0,0,0.384703,A
0,1,0.710090,A
1,0,0.477030,A
0,0,0.324663,A
1,1,0.651256,A
1,1,0.865322,A
0,0,0.334612,A
0,0,0.235315,A
1,1,0.931214,A
0,0,0.420789,A
0,0,0.233729,A
0,0,0.384763,A
0,0,0.174848,A
1,1,0.872023,A
1,1,0.561420,A
0,1,0.549775,A
0,1,0.524812,A
0,1,0.521482,A
1,1,0.725210,A
1,1,0.571916,A
1,0,0.466607,A
0,1,0.539588,A
0,0,0.386532,A
1,0,0.182553,A
1,0,0.490924,A
0,0,0.467324,A
1,1,0.836478,A
0,0,0.459663,A
1,0,0.384022,A
0,1,0.603363,A
0,0,0.292072,A
0,0,0.270830,A
1,0,0.308946,A
1,1,0.847747,A
1,1,0.595892,A
1,0,0.349048,A
1,1,0.517264,A
1,1,0.692824,A
0,0,0.480673,A
0,0,0.470825,A
1,0,0.374590,A
0,0,0.418871,A
0,0,0.301869,A
0,1,0.508144,A
1,1,0.631856,A
1,0,0.284446,A
0,0,0.466085,A
1,0,0.280979,A
0,1,0.581454,A
1,1,0.518845,A
1,1,0.577637,A
0,0,0.231588,A
1,1,0.876272,A
1,1,0.606871,A
1,1,0.534413,A
0,0,0.199952,A
1,1,0.713691,A
0,0,0.263970,A
1,1,0.703788,A
0,0,0.353283,A
0,0,0.478939,A
1,1,0.733999,A
0,1,0.542013,A
1,1,0.678844,A
0,0,0.479673,A
0,0,0.364734,A
1,1,0.640474,A
0,1,0.581274,A
1,0,0.411604,A
1,0,0.376785,A
1,1,0.636320,A
1,1,0.745027,A
1,1,0.819607,A
0,0,0.499858,A
1,0,0.281084,A
0,1,0.597743,A
1,1,0.534508,A
1,1,0.584818,A
0,1,0.502560,A
0,1,0.629218,A
1,1,0.649563,A
1,1,0.657452,A
1,1,0.714877,A
1,1,0.605393,A
